ville,code_postal,departement,type_bien,type_transaction,source,surface,prix,nb_pieces,nb_chambres,prix_m2,prix_m2_predit,ecart_pct,score_marche
Saint-cloud,92210,92,Maison,vente,pap,170.0,1460000.0,3.0,5.0,8588.24,6314.31,36.01,Sur-evalue
Grimaud,83310,83,Maison,vente,pap,215.0,1390000.0,6.0,5.0,6465.12,3394.41,90.46,Sur-evalue
Hyères,83400,83,Maison,vente,orpi,165.0,1390000.0,9.0,1.0,8424.24,2564.03,228.55,Sur-evalue
Garches,92380,92,Maison,vente,pap,150.0,1090000.0,3.0,4.0,7266.67,6402.06,13.51,Prix marche
Courbevoie,92400,92,Maison,vente,pap,120.0,949000.0,3.0,3.0,7908.33,6402.06,23.53,Sur-evalue
Garches,92380,92,Maison,vente,pap,150.0,940000.0,3.0,4.0,6266.67,6402.06,-2.11,Prix marche
Rueil-malmaison,92500,92,Maison,vente,pap,151.0,842900.0,3.0,5.0,5582.12,6402.06,-12.81,Prix marche
Arzon,56640,56,Maison,vente,orpi,100.0,819500.0,5.0,1.0,8195.0,2992.78,173.83,Sur-evalue
Antony,92160,92,Maison,vente,pap,183.0,810000.0,3.0,4.0,4426.23,6314.31,-29.9,Sous-evalue
Neuilly-plaisance,93360,93,Maison,vente,pap,128.0,756900.0,3.0,3.0,5913.28,3923.88,50.7,Sur-evalue
Saint-pierre,97400,97,Maison,vente,pap,153.0,755000.0,6.0,4.0,4934.64,3482.16,41.71,Sur-evalue
Maisons-alfort,94700,94,Maison,vente,pap,103.0,730900.0,3.0,4.0,7096.12,4550.6,55.94,Sur-evalue
Neuilly-plaisance,93360,93,Maison,vente,pap,170.0,720000.0,3.0,5.0,4235.29,3836.13,10.41,Prix marche
Bons,74890,74,Maison,vente,orpi,204.0,719000.0,8.0,1.0,3524.51,3160.71,11.51,Prix marche
Plessis-robinson,92350,92,Maison,vente,pap,90.0,703900.0,3.0,4.0,7821.11,6446.93,21.32,Sur-evalue
Haÿ-les-roses,94240,94,Maison,vente,pap,158.0,599999.0,3.0,5.0,3797.46,4462.85,-14.91,Prix marche
Toulon,83200,83,Maison,vente,pap,156.0,595000.0,6.0,5.0,3814.1,3394.41,12.36,Prix marche
Maisons-alfort,94700,94,Maison,vente,pap,100.0,590000.0,3.0,3.0,5900.0,4720.32,24.99,Sur-evalue
Revest-les-eaux,83200,83,Maison,vente,pap,182.0,577000.0,6.0,4.0,3170.33,3394.41,-6.6,Prix marche
Tampon,97430,97,Maison,vente,pap,200.0,540000.0,6.0,3.0,2700.0,3394.41,-20.46,Sous-evalue
Villejuif,94800,94,Maison,vente,pap,132.0,539126.0,3.0,5.0,4084.29,4550.6,-10.25,Prix marche
Groslay,95410,95,Maison,vente,pap,179.0,539000.0,6.0,4.0,3011.17,3394.41,-11.29,Prix marche
Palaiseau,91120,91,Maison,vente,pap,107.0,535000.0,4.0,3.0,5000.0,3966.63,26.05,Sur-evalue
Châtenay-malabry,92290,92,Maison,vente,pap,101.0,476900.0,3.0,3.0,4721.78,6446.93,-26.76,Sous-evalue
Arras,62000,62,Maison,vente,orpi,230.0,473250.0,8.0,1.0,2057.61,2114.46,-2.69,Prix marche
Saint,31140,31,Maison,vente,orpi,190.0,473200.0,5.0,1.0,2490.53,2860.15,-12.92,Prix marche
Barbentane,13570,13,Maison,vente,orpi,180.0,472500.0,6.0,1.0,2625.0,2564.03,2.38,Prix marche
Champigny-sur-marne,94500,94,Maison,vente,pap,132.0,466800.0,3.0,5.0,3536.36,4550.6,-22.29,Sous-evalue
Argenteuil,95100,95,Maison,vente,pap,110.0,456900.0,3.0,4.0,4153.64,3966.63,4.71,Prix marche
Haÿ-les-roses,94240,94,Maison,vente,pap,90.0,453900.0,3.0,4.0,5043.33,4720.32,6.84,Prix marche
Gaillon,27600,27,Maison,vente,orpi,160.0,450000.0,6.0,1.0,2812.5,2564.03,9.69,Prix marche
Épinay-sur-seine,93800,93,Maison,vente,pap,90.0,442900.0,3.0,4.0,4921.11,4205.8,17.01,Sur-evalue
Pérenchies,59840,59,Maison,vente,orpi,160.0,439900.0,5.0,1.0,2749.38,2860.15,-3.87,Prix marche
Pizay,01120,01,Maison,vente,orpi,111.0,439000.0,4.0,1.0,3954.95,2947.91,34.16,Sur-evalue
Saulx-les-chartreux,91160,91,Maison,vente,pap,170.0,430000.0,6.0,3.0,2529.41,3394.41,-25.48,Sous-evalue
Épinay-sur-seine,93800,93,Maison,vente,pap,102.0,429000.0,3.0,4.0,4205.88,3923.88,7.19,Prix marche
Commensacq,40210,40,Maison,vente,orpi,218.0,425000.0,6.0,1.0,1949.54,2564.03,-23.97,Sous-evalue
Saint,69440,69,Maison,vente,orpi,145.0,425000.0,6.0,1.0,2931.03,2651.78,10.53,Prix marche
Champigny-sur-marne,94500,94,Maison,vente,pap,103.0,414900.0,3.0,4.0,4028.16,4550.6,-11.48,Prix marche
Apt,84400,84,Maison,vente,pap,163.0,410000.0,5.0,3.0,2515.34,3878.88,-35.15,Sous-evalue
Bezons,95870,95,Maison,vente,pap,97.0,405000.0,3.0,3.0,4175.26,4011.5,4.08,Prix marche
Drancy,93700,93,Maison,vente,pap,126.0,400900.0,3.0,4.0,3181.75,3923.88,-18.91,Sous-evalue
Cannes,06150,06,Maison,vente,orpi,100.0,399000.0,3.0,1.0,3990.0,4198.99,-4.98,Prix marche
Argenteuil,95100,95,Maison,vente,pap,106.0,397000.0,3.0,3.0,3745.28,3966.63,-5.58,Prix marche
Neuilly-plaisance,93360,93,Maison,vente,pap,130.0,394000.0,3.0,4.0,3030.77,3923.88,-22.76,Sous-evalue
Créteil,94000,94,Maison,vente,pap,103.0,388900.0,3.0,4.0,3775.73,4550.6,-17.03,Sous-evalue
Fresnes,94260,94,Maison,vente,pap,104.0,388400.0,3.0,4.0,3734.62,4550.6,-17.93,Sous-evalue
Marseille,13010,13,Maison,vente,pap,142.0,380000.0,6.0,4.0,2676.06,3482.16,-23.15,Sous-evalue
Saint-paul,97400,97,Maison,vente,pap,101.0,380000.0,4.0,3.0,3762.38,4011.5,-6.21,Prix marche
Geishouse,68690,68,Maison,vente,orpi,113.0,379000.0,4.0,1.0,3353.98,2947.91,13.78,Prix marche
Bezons,95870,95,Maison,vente,pap,110.0,376000.0,3.0,4.0,3418.18,3966.63,-13.83,Prix marche
Champigny-sur-marne,94500,94,Maison,vente,pap,95.0,371900.0,3.0,4.0,3914.74,4720.32,-17.07,Sous-evalue
Bobigny,93000,93,Maison,vente,pap,110.0,370000.0,3.0,4.0,3363.64,3923.88,-14.28,Prix marche
Bezons,95870,95,Maison,vente,pap,97.0,370000.0,3.0,3.0,3814.43,4011.5,-4.91,Prix marche
Échillais,17620,17,Maison,vente,orpi,135.0,369250.0,4.0,1.0,2735.19,3130.44,-12.63,Prix marche
Antony,92160,92,Maison,vente,pap,90.0,365900.0,3.0,4.0,4065.56,6446.93,-36.94,Sous-evalue
Vitry-sur-seine,94400,94,Maison,vente,pap,96.0,360900.0,3.0,3.0,3759.38,4720.32,-20.36,Sous-evalue
La Tour-du-crieu,09100,09,Maison,vente,entreparticuliers,230.0,360000.0,6.0,1.0,1565.22,3138.41,-50.13,Sous-evalue
Neuilly-plaisance,93360,93,Maison,vente,pap,110.0,359690.0,3.0,4.0,3269.91,3923.88,-16.67,Sous-evalue
Vitry-sur-seine,94400,94,Maison,vente,pap,95.0,349900.0,3.0,4.0,3683.16,4720.32,-21.97,Sous-evalue
Gap,05000,05,Maison,vente,orpi,90.0,349000.0,4.0,1.0,3877.78,2992.78,29.57,Sur-evalue
Vitry-sur-seine,94400,94,Maison,vente,pap,78.0,347900.0,3.0,3.0,4460.26,4720.32,-5.51,Prix marche
Bezons,95870,95,Maison,vente,pap,93.0,344000.0,3.0,3.0,3698.92,4011.5,-7.79,Prix marche
Blagnac,31700,31,Maison,vente,orpi,111.0,340000.0,5.0,1.0,3063.06,2947.91,3.91,Prix marche
Courtry,77181,77,Maison,vente,orpi,115.0,335000.0,6.0,1.0,2913.04,2651.78,9.85,Prix marche
Villejuif,94800,94,Maison,vente,pap,90.0,333900.0,3.0,4.0,3710.0,4720.32,-21.4,Sous-evalue
Vitry-sur-seine,94400,94,Maison,vente,pap,78.0,332900.0,3.0,3.0,4267.95,4720.32,-9.58,Prix marche
Auterive,31190,31,Maison,vente,orpi,158.0,329000.0,4.0,1.0,2082.28,2860.15,-27.2,Sous-evalue
Toulouse,31200,31,Maison,vente,orpi,89.0,326000.0,4.0,1.0,3662.92,2992.78,22.39,Sur-evalue
Saint,13310,13,Maison,vente,orpi,80.0,324000.0,4.0,1.0,4050.0,2992.78,35.33,Sur-evalue
Argenteuil,95100,95,Maison,vente,pap,93.0,318900.0,3.0,3.0,3429.03,4011.5,-14.52,Prix marche
Saint-brevin-les-pins,44250,44,Maison,vente,entreparticuliers,77.0,310000.0,4.0,1.0,4025.97,4011.5,0.36,Prix marche
Rosny-sous-bois,93110,93,Maison,vente,pap,93.0,308900.0,3.0,3.0,3321.51,3968.75,-16.31,Sous-evalue
Le Mée,77350,77,Maison,vente,orpi,99.0,304000.0,6.0,1.0,3070.71,2696.65,13.87,Prix marche
Lapalud,84840,84,Maison,vente,orpi,91.0,289000.0,4.0,1.0,3175.82,2992.78,6.12,Prix marche
Bezons,95870,95,Maison,vente,pap,90.0,288900.0,3.0,4.0,3210.0,4011.5,-19.98,Sous-evalue
Forcalquier,04300,04,Maison,vente,orpi,140.0,280000.0,5.0,1.0,2000.0,2947.91,-32.16,Sous-evalue
Vieux,97119,97,Maison,vente,orpi,108.0,280000.0,4.0,1.0,2592.59,2947.91,-12.05,Prix marche
Libercourt,62820,62,Maison,vente,pap,116.0,265000.0,5.0,5.0,2284.48,3517.05,-35.05,Sous-evalue
Molay-littry,14330,14,Maison,vente,pap,193.0,260000.0,6.0,5.0,1347.15,3394.41,-60.31,Sous-evalue
Saulx,91160,91,Maison,vente,orpi,55.0,250000.0,2.0,1.0,4545.45,3304.7,37.55,Sur-evalue
Tourcoing,59200,59,Maison,vente,orpi,110.0,245000.0,4.0,1.0,2227.27,2947.91,-24.45,Sous-evalue
Mulhouse,68200,68,Maison,vente,orpi,90.0,226900.0,5.0,1.0,2521.11,2992.78,-15.76,Sous-evalue
Valensole,04210,04,Maison,vente,orpi,112.0,220000.0,4.0,1.0,1964.29,2947.91,-33.37,Sous-evalue
Forcalquier,04300,04,Maison,vente,orpi,109.0,220000.0,5.0,1.0,2018.35,2947.91,-31.53,Sous-evalue
Breuil-magné,17870,17,Maison,vente,entreparticuliers,80.0,219000.0,5.0,1.0,2737.5,4767.65,-42.58,Sous-evalue
Redessan,30129,30,Maison,vente,orpi,105.0,210500.0,5.0,1.0,2004.76,2947.91,-31.99,Sous-evalue
Ay,51160,51,Maison,vente,orpi,127.0,171900.0,5.0,1.0,1353.54,2721.89,-50.27,Sous-evalue
Port,17730,17,Maison,vente,orpi,49.0,143500.0,3.0,1.0,2928.57,3486.47,-16.0,Sous-evalue
Boulogne,62200,62,Maison,vente,orpi,75.0,140000.0,3.0,1.0,1866.67,2756.07,-32.27,Sous-evalue
Rivesaltes,66600,66,Maison,vente,orpi,55.0,130000.0,3.0,1.0,2363.64,3304.7,-28.48,Sous-evalue
Èze,06360,06,Appartement,vente,entreparticuliers,135.0,1250000.0,5.0,1.0,9259.26,7701.05,20.23,Sur-evalue
Paris,75005,75,Appartement,vente,pap,107.4,1090000.0,4.0,3.0,10148.98,10677.98,-4.95,Prix marche
Levallois-perret,92300,92,Appartement,vente,entreparticuliers,104.0,1070000.0,5.0,1.0,10288.46,6402.06,60.71,Sur-evalue
Paris,75013,75,Appartement,vente,pap,106.0,1050000.0,5.0,3.0,9905.66,10677.98,-7.23,Prix marche
Paris,75015,75,Appartement,vente,pap,100.0,1050000.0,4.0,2.0,10500.0,10722.85,-2.08,Prix marche
Paris,75018,75,Appartement,vente,pap,80.8,1050000.0,4.0,3.0,12995.05,10722.85,21.19,Sur-evalue
Paris,75016,75,Appartement,vente,pap,101.0,870000.0,4.0,3.0,8613.86,10722.85,-19.67,Sous-evalue
Paris,75012,75,Appartement,vente,pap,58.0,849000.0,2.0,1.0,14637.93,11034.78,32.65,Sur-evalue
Paris,75011,75,Appartement,vente,pap,83.0,825000.0,4.0,2.0,9939.76,10722.85,-7.3,Prix marche
Paris,75009,75,Appartement,vente,pap,55.0,820000.0,3.0,2.0,14909.09,11034.78,35.11,Sur-evalue
Neuilly-sur-seine,92200,92,Appartement,vente,pap,80.7,790000.0,3.0,2.0,9789.34,6446.93,51.84,Sur-evalue
Paris,75016,75,Appartement,vente,pap,69.1,760000.0,4.0,2.0,10998.55,10722.85,2.57,Prix marche
Paris,75014,75,Appartement,vente,pap,75.5,748000.0,3.0,2.0,9907.28,10722.85,-7.61,Prix marche
Garches,92380,92,Appartement,vente,pap,115.0,735000.0,4.0,3.0,6391.3,6402.06,-0.17,Prix marche
Paris,75020,75,Appartement,vente,pap,74.0,655000.0,3.0,2.0,8851.35,10722.85,-17.45,Sous-evalue
Paris,75010,75,Appartement,vente,pap,60.0,630000.0,3.0,1.0,10500.0,11034.78,-4.85,Prix marche
Paris,75010,75,Appartement,vente,pap,65.0,610000.0,3.0,2.0,9384.62,10722.85,-12.48,Prix marche
Paris,75017,75,Appartement,vente,pap,45.0,600000.0,3.0,1.0,13333.33,11184.85,19.21,Sur-evalue
Suresnes,92150,92,Appartement,vente,pap,85.0,599000.0,4.0,3.0,7047.06,6446.93,9.31,Prix marche
Paris,75020,75,Appartement,vente,pap,70.0,580000.0,3.0,2.0,8285.71,10722.85,-22.73,Sous-evalue
Paris,75012,75,Appartement,vente,pap,53.0,570000.0,2.0,1.0,10754.72,11034.78,-2.54,Prix marche
Paris,75005,75,Appartement,vente,pap,50.0,565000.0,3.0,2.0,11300.0,11034.78,2.4,Prix marche
Antibes,06160,06,Appartement,vente,entreparticuliers,92.0,499000.0,4.0,1.0,5423.91,5217.71,3.95,Prix marche
Saint-cloud,92210,92,Appartement,vente,pap,72.0,489000.0,3.0,2.0,6791.67,6446.93,5.35,Prix marche
Nogent-sur-marne,94130,94,Appartement,vente,pap,86.0,485000.0,4.0,3.0,5639.53,4720.32,19.47,Sur-evalue
Paris,75020,75,Appartement,vente,pap,47.0,479000.0,3.0,2.0,10191.49,11184.85,-8.88,Prix marche
Montrouge,92120,92,Appartement,vente,pap,61.0,475000.0,3.0,1.0,7786.89,6758.86,15.21,Sur-evalue
Paris,75018,75,Appartement,vente,pap,60.0,475000.0,3.0,2.0,7916.67,11034.78,-28.26,Sous-evalue
Paris,75001,75,Appartement,vente,entreparticuliers,49.0,473000.0,2.0,1.0,9653.06,11034.78,-12.52,Prix marche
Boulogne-billancourt,92100,92,Appartement,vente,pap,60.2,460000.0,3.0,2.0,7638.66,6758.86,13.02,Prix marche
Marseille,13001,13,Appartement,vente,entreparticuliers,81.0,459000.0,4.0,1.0,5666.67,4011.5,41.26,Sur-evalue
Paris,75018,75,Appartement,vente,pap,45.3,449000.0,2.0,1.0,9922.65,11184.85,-11.28,Prix marche
Puteaux,92800,92,Appartement,vente,pap,37.9,428000.0,2.0,1.0,11292.88,8415.28,34.19,Sur-evalue
Les Sables-d'olonne,85100,85,Appartement,vente,entreparticuliers,91.0,419000.0,4.0,1.0,4604.4,4011.5,14.78,Prix marche
Paris,75018,75,Appartement,vente,pap,43.0,415000.0,2.0,1.0,9651.16,11184.85,-13.71,Prix marche
Issy-les-moulineaux,92130,92,Appartement,vente,pap,42.8,395000.0,2.0,1.0,9233.29,6908.93,33.64,Sur-evalue
Paris,75003,75,Appartement,vente,pap,32.7,390000.0,2.0,1.0,11944.87,11184.85,6.8,Prix marche
Paris,75005,75,Appartement,vente,pap,31.0,390000.0,2.0,1.0,12580.65,11270.7,11.62,Prix marche
Paris,75014,75,Appartement,vente,pap,47.3,387000.0,2.0,1.0,8181.82,11184.85,-26.85,Sous-evalue
Viroflay,78220,78,Appartement,vente,orpi,72.0,383250.0,4.0,1.0,5322.92,3351.64,58.82,Sur-evalue
Strasbourg,67000,67,Appartement,vente,pap,94.0,375000.0,5.0,4.0,3989.36,4011.5,-0.55,Prix marche
Villeneuve-le-roi,94290,94,Appartement,vente,pap,98.0,369000.0,5.0,4.0,3765.31,4720.32,-20.23,Sous-evalue
Nice,06300,06,Appartement,vente,pap,80.2,369000.0,4.0,3.0,4603.87,5217.71,-11.76,Prix marche
Paris,75018,75,Appartement,vente,pap,52.0,369000.0,3.0,2.0,7096.15,11034.78,-35.69,Sous-evalue
Paris,75012,75,Appartement,vente,pap,34.6,369000.0,2.0,1.0,10664.74,11184.85,-4.65,Prix marche
Paris,75019,75,Appartement,vente,pap,36.4,368000.0,2.0,1.0,10121.01,11184.85,-9.51,Prix marche
Sèvres,92310,92,Appartement,vente,pap,65.0,355000.0,3.0,2.0,5461.54,6446.93,-15.28,Sous-evalue
Paris,75019,75,Appartement,vente,pap,32.0,350000.0,2.0,1.0,10937.5,11270.7,-2.96,Prix marche
Fontenay-sous-bois,94120,94,Appartement,vente,pap,45.3,349000.0,3.0,2.0,7702.49,5164.77,49.14,Sur-evalue
Champigny,94500,94,Appartement,vente,orpi,66.0,333000.0,3.0,1.0,5045.45,4171.49,20.95,Sur-evalue
Celle-saint-cloud,78170,78,Appartement,vente,pap,89.0,330000.0,4.0,3.0,3707.87,3957.91,-6.32,Prix marche
Paris,75020,75,Appartement,vente,pap,27.0,330000.0,2.0,1.0,12222.22,11270.7,8.44,Prix marche
Savigny,91600,91,Appartement,vente,orpi,90.0,328000.0,3.0,1.0,3644.44,2992.78,21.77,Sur-evalue
Compiègne,60200,60,Appartement,vente,orpi,117.0,325000.0,5.0,1.0,2777.78,2947.91,-5.77,Prix marche
Fort,80120,80,Appartement,vente,orpi,65.0,325000.0,3.0,1.0,5000.0,2992.78,67.07,Sur-evalue
Schiltigheim,67300,67,Appartement,vente,orpi,83.0,321700.0,4.0,1.0,3875.9,2992.78,29.51,Sur-evalue
Saint-pierre,97400,97,Appartement,vente,pap,80.0,319000.0,3.0,2.0,3987.5,4011.5,-0.6,Prix marche
La Turbie,06320,06,Appartement,vente,entreparticuliers,32.0,309000.0,1.0,1.0,9656.25,7086.89,36.26,Sur-evalue
Lyon,69008,69,Appartement,vente,pap,74.0,308000.0,3.0,2.0,4162.16,4011.5,3.76,Prix marche
Paris,75020,75,Appartement,vente,pap,27.0,307000.0,2.0,1.0,11370.37,11270.7,0.88,Prix marche
Choisy-le-roi,94600,94,Appartement,vente,pap,93.0,305000.0,4.0,3.0,3279.57,4720.32,-30.52,Sous-evalue
Vanves,92170,92,Appartement,vente,orpi,48.0,305000.0,2.0,1.0,6354.17,6908.93,-8.03,Prix marche
Villiers,94350,94,Appartement,vente,orpi,66.0,299000.0,3.0,1.0,4530.3,4171.49,8.6,Prix marche
Lyon,69001,69,Appartement,vente,entreparticuliers,58.0,299000.0,3.0,1.0,5155.17,4323.42,19.24,Sur-evalue
Saint-jean-de-védas,34430,34,Appartement,vente,pap,65.0,272000.0,3.0,2.0,4184.62,4011.5,4.32,Prix marche
Paris,75019,75,Appartement,vente,pap,30.0,269000.0,2.0,1.0,8966.67,11270.7,-20.44,Sous-evalue
Guérande,44350,44,Appartement,vente,entreparticuliers,69.0,267750.0,3.0,1.0,3880.43,4011.5,-3.27,Prix marche
Paris,75014,75,Appartement,vente,pap,25.5,265500.0,1.0,1.0,10395.46,11270.7,-7.77,Prix marche
Marseille,13008,13,Appartement,vente,pap,64.0,259000.0,3.0,2.0,4046.88,4323.42,-6.4,Prix marche
Paris,75018,75,Appartement,vente,pap,33.1,252000.0,2.0,1.0,7608.7,11184.85,-31.97,Sous-evalue
Saint-nazaire,44600,44,Appartement,vente,pap,66.0,238500.0,3.0,2.0,3613.64,4011.5,-9.92,Prix marche
La Mulatière,69350,69,Appartement,vente,orpi,64.0,235000.0,3.0,1.0,3671.88,3304.7,11.11,Prix marche
Aubervilliers,93300,93,Appartement,vente,orpi,39.0,235000.0,2.0,1.0,6025.64,3649.08,65.13,Sur-evalue
Talange,57525,57,Appartement,vente,orpi,68.0,229000.0,3.0,1.0,3367.65,2992.78,12.53,Prix marche
Le Pradet,83220,83,Appartement,vente,orpi,56.0,229000.0,3.0,1.0,4089.29,3304.7,23.74,Sur-evalue
Cayenne,97300,97,Appartement,vente,orpi,85.0,224700.0,3.0,1.0,2643.53,2992.78,-11.67,Prix marche
Reims,51100,51,Appartement,vente,orpi,125.0,223900.0,5.0,1.0,1791.2,2721.89,-34.19,Sous-evalue
Auray,56400,56,Appartement,vente,entreparticuliers,62.0,222600.0,3.0,1.0,3590.32,4323.42,-16.96,Sous-evalue
Villeurbanne,69100,69,Appartement,vente,pap,56.0,215000.0,4.0,2.0,3839.29,4323.42,-11.2,Prix marche
Bobigny,93000,93,Appartement,vente,pap,45.0,212000.0,2.0,1.0,4711.11,4667.8,0.93,Prix marche
Paris,75009,75,Appartement,vente,pap,14.0,210000.0,2.0,1.0,15000.0,11270.7,33.09,Sur-evalue
Sainte-maxime,83120,83,Appartement,vente,entreparticuliers,45.0,208000.0,2.0,1.0,4622.22,4473.49,3.32,Prix marche
Lille,59000,59,Appartement,vente,orpi,47.0,199900.0,2.0,1.0,4253.19,3454.77,23.11,Sur-evalue
Brou-sur-chantereine,77177,77,Appartement,vente,entreparticuliers,73.0,199000.0,4.0,1.0,2726.03,4011.5,-32.04,Sous-evalue
Nozay,91620,91,Appartement,vente,pap,60.0,199000.0,3.0,2.0,3316.67,4323.42,-23.29,Sous-evalue
Aubervilliers,93300,93,Appartement,vente,pap,52.0,199000.0,3.0,2.0,3826.92,4517.73,-15.29,Sous-evalue
Paris,75018,75,Appartement,vente,pap,23.5,198000.0,1.0,1.0,8421.95,11270.7,-25.28,Sous-evalue
Beauchamp,95250,95,Appartement,vente,entreparticuliers,73.0,197000.0,3.0,1.0,2698.63,4011.5,-32.73,Sous-evalue
Paris,75018,75,Appartement,vente,pap,21.2,191500.0,1.0,1.0,9037.28,11270.7,-19.82,Sous-evalue
Strasbourg,67000,67,Appartement,vente,orpi,54.0,189900.0,3.0,1.0,3516.67,3304.7,6.41,Prix marche
Les Sables,85100,85,Appartement,vente,orpi,42.0,189000.0,2.0,1.0,4500.0,3454.77,30.25,Sur-evalue
Tours,37000,37,Appartement,vente,pap,95.0,188000.0,4.0,3.0,1978.95,4011.5,-50.67,Sous-evalue
Fontenay-aux-roses,92260,92,Appartement,vente,pap,35.0,188000.0,1.0,1.0,5371.43,8415.28,-36.17,Sous-evalue
Salon,13300,13,Appartement,vente,orpi,68.0,182000.0,3.0,1.0,2676.47,2992.78,-10.57,Prix marche
Vitrolles,13127,13,Appartement,vente,entreparticuliers,90.0,181000.0,5.0,1.0,2011.11,4011.5,-49.87,Sous-evalue
Larmor,56260,56,Appartement,vente,orpi,41.0,180500.0,2.0,1.0,4402.44,3454.77,27.43,Sur-evalue
Rodez,12000,12,Appartement,vente,orpi,64.0,179000.0,3.0,1.0,2796.88,3304.7,-15.37,Sous-evalue
Rennes,35000,35,Appartement,vente,entreparticuliers,72.0,177320.0,3.0,1.0,2462.78,4011.5,-38.61,Sous-evalue
Argelès-sur-mer,66700,66,Appartement,vente,entreparticuliers,99.0,175000.0,5.0,1.0,1767.68,4011.5,-55.93,Sous-evalue
Lille,59800,59,Appartement,vente,orpi,30.0,171000.0,1.0,1.0,5700.0,3540.62,60.99,Sur-evalue
Bron,69500,69,Appartement,vente,orpi,56.0,169000.0,3.0,1.0,3017.86,3304.7,-8.68,Prix marche
Cergy,95800,95,Appartement,vente,orpi,42.0,169000.0,2.0,1.0,4023.81,3454.77,16.47,Sur-evalue
Paris,75019,75,Appartement,vente,pap,19.1,165000.0,1.0,1.0,8643.27,11270.7,-23.31,Sous-evalue
Marseille,13002,13,Appartement,vente,pap,37.0,163000.0,2.0,1.0,4405.41,4473.49,-1.52,Prix marche
Aubervilliers,93300,93,Appartement,vente,pap,32.0,160000.0,1.0,1.0,5000.0,4753.65,5.18,Prix marche
Vaujours,93410,93,Appartement,vente,orpi,38.0,159000.0,2.0,1.0,4184.21,3649.08,14.66,Prix marche
Maurepas,78310,78,Appartement,vente,pap,46.0,155000.0,2.0,1.0,3369.57,4760.3,-29.22,Sous-evalue
Romainville,93230,93,Appartement,vente,pap,28.0,155000.0,1.0,1.0,5535.71,4753.65,16.45,Sur-evalue
Deuil-la-barre,95170,95,Appartement,vente,pap,38.0,150000.0,2.0,1.0,3947.37,4473.49,-11.76,Prix marche
Marseille,13012,13,Appartement,vente,pap,82.0,148000.0,3.0,2.0,1804.88,4011.5,-55.01,Sous-evalue
Paris,75019,75,Appartement,vente,pap,18.0,148000.0,1.0,1.0,8222.22,11270.7,-27.05,Sous-evalue
Nantes,44000,44,Appartement,vente,pap,41.7,145000.0,2.0,1.0,3479.72,4473.49,-22.21,Sous-evalue
