"prix";"ville";"nb_pieces";"surface";"type_bien";"type_logement";"description"
"730";"Toulouse";"";"";"Logement en résidence";"Logement en résidence";"Annonce à la une 360° Promotion en cours Logement en résidence Sweetly I Art à partir de 730€ cc / mois Gradignan (33170) Meublé - Parking - Salle de sport - Cafétéria NOTRE RESIDENCE PROPOSE DES LOYERS TOUTES CHARGES COMPRISES AVEC ASSURANCE HABITATION 

La résidence coliving I-Art propose des hébergements entièrement meublées dans la ville dynamique et conviviale de Gradignan. Idéale pour les étudiants en fin de cursus universitaire et les jeunes actifs, la résidence est connectée et propose de nombreux services favorisant les échanges entre résidents. Disponible immédiatement 360° Promotion en cours Logement en résidence Sweetly L’Alexandrin à partir de 690€ cc / mois Toulouse (31100) Meublé - Parking - Salle de sport - Cafétéria La Résidence l’Alexandrin est une résidence para-hotelière qui se situe à Toulouse face à l’hippodrome de la Cêpière et au cœur des universités.
Sa localisation idéale permet de bénéficier de nombreux atouts : le métro ligne A « Arènes », le tramway à proximité ainsi que les différentes lignes de bus, vous permettent d’accéder en quelques minutes au centre-ville ou à l’université la plus proche. 
Pour favoriser l’échange et la convivialité entre ses résidents, la résidence dispose de plusieurs espaces communs : espace de coworking et de coliving, salle de fitness, laverie, Sweet manager présent 7j/7j, espace vert avec jardin potager partagé et bien d’autres ! 
Entièrement sécurisée, la résidence propose des logements modernes meublés et équipés pour répondre aux attentes des étudiants mais aussi des jeunes actifs. 
L’ensemble des charges sont comprises dans le montant du loyer : internet, eau chaude et électricité vous facilitant ainsi votre emménagement.
La résidence est soumise à la taxe de séjour. Disponible immédiatement"
"690";"Toulouse";"";"";"Logement en résidence";"Logement en résidence";"360° Promotion en cours Logement en résidence Sweetly L’Alexandrin à partir de 690€ cc / mois Toulouse (31100) Meublé - Parking - Salle de sport - Cafétéria La Résidence l’Alexandrin est une résidence para-hotelière qui se situe à Toulouse face à l’hippodrome de la Cêpière et au cœur des universités.
Sa localisation idéale permet de bénéficier de nombreux atouts : le métro ligne A « Arènes », le tramway à proximité ainsi que les différentes lignes de bus, vous permettent d’accéder en quelques minutes au centre-ville ou à l’université la plus proche. 
Pour favoriser l’échange et la convivialité entre ses résidents, la résidence dispose de plusieurs espaces communs : espace de coworking et de coliving, salle de fitness, laverie, Sweet manager présent 7j/7j, espace vert avec jardin potager partagé et bien d’autres ! 
Entièrement sécurisée, la résidence propose des logements modernes meublés et équipés pour répondre aux attentes des étudiants mais aussi des jeunes actifs. 
L’ensemble des charges sont comprises dans le montant du loyer : internet, eau chaude et électricité vous facilitant ainsi votre emménagement.
La résidence est soumise à la taxe de séjour. Disponible immédiatement"
"500";"Nantes";"15.0";"";"Colocation";"Colocation";"Pro 360° Réservable à la chambre Colocation 🌟 Bienvenue dans notre coliving ""Pageot"" à Nantes! 🏡 à partir de 500€ cc / mois Nantes (44000) 430m² - 15 chambres - Meublé - Parking À la recherche d'un espace de vie spacieux, confortable et convivial? Ne cherchez pas plus loin! Les travaux viennent de se terminer dans notre grande maison de 15 chambres avec jardin, et superbement meublée. Elle vous offre une expérience de colocation unique aux portes du centre ville et du parc de Procé.

🌳 Située à proximité immédiate du parc de Procé, notre maison offre une tranquillité incomparable tout en restant proche du centre-ville de Nantes et des facultés avec un accès direct en bus.

Espaces communs
-Cuisine entièrement équipée pour préparer vos repas favoris.
-Salon chaleureux pour vous détendre.
-Salle à manger spacieuse pour partager des repas conviviaux.
-Buanderie avec machines à laver et sèche-linges pour faciliter votre quotidien.
-Grand jardin en plein centre-ville pour vous relaxer avec table de ping-pong.

Services inclus dans le prix
-Électricité, chauffage, eau
-Internet haut débit (fibre)
-Ménage des parties communes une fois par semaine
-Assurance habitation et responsabilité civile pour une tranquillité d'esprit totale

Chambre à partir de 335 Eur + 90 Eur de charges incluant eau, électricité, chauffage, ménage des parties communes, assurance habitation, Netflix, wifi fibre.

N'attendez plus, faites de cette maison votre chez-vous et vivez une expérience de colocation exceptionnelle à Nantes ! 

Dépôt de garantie : un mois de loyer Hors charges 
Frais de dossier en complément des frais de Studapart : 1/2 mois de loyer charges comprises
. Disponible immédiatement"
"480";"Nantes";"11.0";"";"Colocation";"Colocation";"Pro 360° Réservable à la chambre Colocation 🌟 Rejoignez RAYYA ! Chambre Dispo en Coliving à Nantes – 🌟 à partir de 480€ cc / mois Nantes (44300) 300m² - 11 chambres - Meublé Bienvenue chez RAYYA, un espace de coliving exceptionnel de 300m², idéalement situé à Nantes, prêt à vous offrir une expérience de vie communautaire unique et enrichissante.
Votre nouveau chez-vous :
• des chambres spacieuses et lumineuses, prêtes à accueillir de nouveaux colocataires. Profitez-en, quelques-unes sont disponibles !
• Espaces communs conçus pour la convivialité et le confort.
Emplacement idéal :
• Transports publics à deux pas :
• Tram 2 – le Cardo | 3 min à pied 🚊
• Bus C2, 50, 89 – le Cardo | 3 min à pied 🚍
• Commodités de quartier :
• Boulangerie | 2 min à pied 🥖
• Supermarché | 2 min à pied 🛒
Équipements du coliving :
• Séjour pour des moments partagés inoubliables.
• Salle à manger pour des repas en communauté.
• Cuisine entièrement équipée, prête à inspirer vos talents culinaires.
• Buanderie facilitant votre quotidien.
• Jardin parfait pour se détendre et profiter des beaux jours.
 
Vivre à RAYYA, c'est bénéficier d'un cadre de vie agréable et dynamique, où chaque jour est une nouvelle occasion de rencontres et de découvertes. Ne manquez pas cette opportunité unique de rejoindre notre communauté accueillante et soudée.
Contactez-nous dès maintenant pour plus d'informations 
RAYYA vous attend avec impatience. Soyez prêt à vivre une expérience coliving exceptionnelle à Nantes !
Chambre à partir de 270 Eur + 90 Eur (promo pendant 3 mois, puis 470 Eur + 90 Eur) de charges incluant eau, électricité, chauffage, ménage des parties communes, assurance habitation, Netflix, wifi fibre.
N'attendez plus, faites de cette maison votre chez-vous et vivez une expérience de colocation exceptionnelle à Nantes ! 
Dépôt de garantie : un mois de loyer Hors charges 
Frais de dossier en complément des frais de Studapart : 1/2 mois de loyer charges comprises
. Disponible immédiatement"
"670";"Lille";"7.0";"150.0";"Colocation";"Colocation";"Pro 360° Réservable à la chambre Colocation QUARTIER VAUBAN ESQUERMES – CoLiving de 7 chambres à partir de 670€ cc / mois Lille (59000) 150m² - 7 chambres - Meublé - Parking - Salle de bain privée Situé en plein quartier VAUBAN ESQUERMES à proximité des écoles (ICAM, Université catholique, etc…), des commerces et des transports, dans une maison de 150 m2 avec cour intérieure, nous vous proposons 1 chambre de 15m² avec salle de bain privative.

Vous bénéficiez des espaces partagés de 34 m2 disposant d’une cuisine entièrement équipée : micro-onde, four, plaques de cuisson, cafetière, frigo, etc…
Une salle à manger / salon avec TV
Un accès à la machine à laver et sèche-linge.
Loyer tout inclus : eau, électricité, chauffage, internet, entretien.

Dépôt de garantie : un mois de loyer Hors charges 
Frais de dossier en complément des frais de Studapart : 1/2 mois de loyer charges comprises
. Disponible immédiatement"
"655";"Nantes";"";"";"Logement en résidence";"Logement en résidence";"360° Logement en résidence Twenty Campus Nantes à partir de 655€ cc / mois Nantes (44300) Meublé - Parking - Salle de bain privée - Salle de sport - Cafétéria Idéalement située au cœur de la ville, la résidence est au pied du tramway
arrêt &quot;Morrhonnière Petit Port&quot; (ligne de tram n°2), et à proximité immédiate des facultés et
universités, et de l’école de commerce Audencia. Tu Trouveras tout ce qu’il te faut autour de
la résidence : transports, écoles, universités, commerces !

La résidence étudiante Twenty Campus NANTES vous offre un nouveau cadre de vie pour cette rentrée
	
Du studio au T2 meublé avec kitchenette équipée, frigo, micro ondes, plaques électriques, comprenant lit, rangements, table, bureau, chaise, salle de douche privative avec WC, Kit vaisselle, Kit ménage.

De nombreux services compris dans le loyer:
- Internet illimité
- la salle de sport,
- Petit déjeuner du lundi au vendredi
- Ménage du logement 2 fois par mois
- Salle détente (billard, Tv, distributeurs)
- La salle de musique,
- Local à vélos
- Présence quotidienne d'un régisseur sur place
Laverie sur place 

Les charges comprennent: L’eau froide, l’entretien des parties communes, ascenseur, l’entretien des espaces verts, régisseur.

Possibilité location parking : 10€/ mois Disponible immédiatement"
"710";"Lyon";"";"";"Logement en résidence";"Logement en résidence";"360° Logement en résidence UXCO Oxygène à partir de 710€ cc / mois Lyon (69007) Meublé - Salle de sport Pour plus d'informations sur cette résidence, un standard téléphonique vous est mis à disposition : + 33 7 57 93 40 65 

La résidence UXCO Oxygène est située en plein cœur de Lyon dans un quartier dynamique à deux pas de la place Bellecour et de ses commerces. Très bien desservie par les transports en commun, proche des universités et des écoles supérieures elle est une valeur sûre si tu souhaites mener une vie universitaire active et sereine.  

Oxygène propose 88 apparts de type studio et T2. Meublés et aménagés avec style, ils disposent tous d’un coin bureau avec TV écran plat, d’une kitchenette équipée, d’une salle de bain privative et d’un lit avec kit linge à disposition. 

Entièrement imaginée pour offrir aux étudiants des conditions de vie et de travail optimales, elle dispose d’une gamme complète de services et avantages tels que la connexion Wifi illimitée dans chaque logement, l’accès gratuit à la fitness zone, une laverie automatique avec sèche-linge, parking privé… 

Il ne te reste plus qu’à poser tes valises, bienvenue chez toi ! Disponible immédiatement"
"820";"Toulouse";"9.0";"";"Logement en résidence";"Logement en résidence";"Logement en résidence Résidence Serenly Toulouse Bonnefoy à partir de 820€ cc / mois Toulouse (31200) 9 chambres - Meublé - Parking - Salle de sport La résidence Serenly Toulouse se situe dans le quartier Bonnefoy à seulement quelques minutes du centre-ville de Toulouse. Il s'agit d'une résidence sénior situé dans un quartier agréable à vivre avec toutes les commodités à proximité. Les espaces communs extérieurs aménagés et végétalisés favorisent la détente et le rapport à la nature avec le boulodrome, les jardins potagers partagés et les espaces verts arborés. Les logements sont composés d'une cuisine entièrement équipée, d'un salon composé d'une table, fauteuil et meuble tv, la partie chambre est équipée d'un lit double. Disponible immédiatement"
"640";"Marseille";"";"";"Logement en résidence";"Logement en résidence";"Logement en résidence Twenty Campus Marseille Canada à partir de 640€ cc / mois Marseille (13010) Meublé - Salle de sport Bienvenue à Twenty Campus Marseille Canada, une résidence étudiante moderne et conviviale située au cœur de la cité phocéenne. Que vous soyez à la recherche d’un logement étudiant à Marseille, d’une résidence proche de la faculté de médecine, ou simplement d’un cadre agréable pour poursuivre vos études, notre résidence vous offre bien plus qu’un simple toit. 
Nous proposons une large gamme de logements étudiants meublés : studios fonctionnels ou appartements T2 spacieux, tous équipés pour allier confort, praticité et sérénité. Chaque appartement étudiant est optimisé pour favoriser la concentration, le repos et l’autonomie. Vous disposez d’un coin nuit confortable, d’une cuisine équipée, d’un espace bureau, de rangements astucieux et d’une salle d’eau privative. Disponible immédiatement"
"760";"Paris";"5.0";"";"Logement en résidence";"Logement en résidence";"360° Logement en résidence Kley Créteil à partir de 760€ cc / mois Créteil (94000) 5 chambres - Meublé - Parking - Salle de sport - Cafétéria Idéalement située à Créteil, la résidence Kley Créteil bénéficie d’un réseau de transports performant avec un accès facile à Paris via le RER D à moins de 8min à pied de la résidence, via le métro ligne 8, et de nombreuses lignes de bus. À deux pas des écoles, universités (UPEC, écoles de commerce et d’ingénieurs, instituts paramédicaux) et du centre commercial Créteil Soleil, elle offre un cadre de vie connecté, pratique et stimulant.

Kley Paris-Créteil, c’est une nouvelle manière de vivre la vie étudiante : un coliving moderne avec plus de 500 m² d’espaces intérieurs et extérieurs conçus pour tous les goûts et toutes les envies. Cinéma, patio, baby-foot, coin lounge, cuisine, salle de sport, terrasse ensoleillée… chaque espace invite à la détente, à la rencontre et au partage.
L’équipe sur place propose une grande diversité de logements meublés, du studio individuel, comme des logements plus spacieux de 18 à 29,5 m², pour répondre aux besoins.

Les T5 et T6 en colocation séduisent par leurs espaces communs (terrasse, salon, cuisine collective) tout en garantissant l’intimité de chacun grâce à une chambre et une salle de bains privative.
Chaque logement est neuf et tout équipé, avec une isolation phonique de haute qualité et de grandes fenêtres favorisant la lumière naturelle : un cadre de vie propice au travail, à la détente et au bien-être. Disponible immédiatement"
"499";"Lille";"";"";"Logement en résidence";"Logement en résidence";"Logement en résidence Twenty Campus Roubaix E-camp à partir de 499€ cc / mois Roubaix (59100) Meublé - Parking - Salle de sport - Cafétéria Pour plus d'information sur cette résidence, un standard téléphonique vous est mis à disposition : + 33 7 57 93 40 65

Découvrez la résidence étudiante Twenty Campus Roubaix e-Camp, un lieu moderne au bord du canal, idéal pour les étudiants et passionnés d’e-sport et de numérique. 

Nous proposons des studios, T2 et chambres en colocation adaptés à tous les budgets, avec un parking sécurisé disponible pour les étudiants possédant un véhicule. Votre loyer inclut de nombreux services : salle de sport, salle de learning, salle de musique, et un petit-déjeuner servi du lundi au vendredi pour bien commencer la journée. À seulement 15 minutes de Lille, la résidence est idéalement située près des transports en commun, des écoles comme Piktura et ArtFX, ainsi que des commerces et restaurants. Un cadre de vie parfait pour allier études, loisirs et vie sociale. 

Réservez dès maintenant ! Disponible immédiatement"
"554";"Nantes";"2.0";"";"Logement en résidence";"Logement en résidence";"Logement en résidence Univea La Sensive Nantes à partir de 554€ cc / mois Nantes (44300) Meublé - Parking - Salle de sport La résidence UNIVEA LA SENSIVE est un ensemble de 195 appartements meublés, allant du studio au 2 pièces, avec kitchenette et salle de bain équipées, et même, pour certains, avec balcon.

La résidence est située dans un cadre verdoyant, proche des grandes écoles et du campus universitaire. Les commerces et le complexe du petit port (piscine, patinoire, bowling, billard) sont à 5 minutes ! Disponible immédiatement"
"720";"Paris";"";"";"Studio";"Studio";"Promotion en cours Logement en résidence Good Morning Créteil à partir de 720€ cc / mois Créteil (94000) Meublé 🏡  À 2min du métro Créteil Préfecture (ligne 8) et Créteil Soleil, vous profitez d’un accès rapide à Paris tout en étant à proximité immédiate des commerces, universités et services, venez découvrir la résidence Good Morning Créteil – Nomad Campus, pensée pour répondre aux besoins des étudiants et jeunes actifs.


📍 Emplacement privilégié
À seulement 2 minutes du métro Créteil Préfecture (ligne 8), vous profitez d’un accès rapide à Paris tout en étant à proximité immédiate des commerces, universités et services.

🛋️ Logements disponibles

Studios meublés et équipés
Appartements T2
Possibilité de colocation jusqu’au T5

✨ Des appartements prêts à vivre
Chaque logement est entièrement meublé pour faciliter votre quotidien :

Coin cuisine équipé : rangements, table de repas, plaques vitrocéramiques, micro-ondes, réfrigérateur, vaisselle et ustensiles inclus
Coin séjour : bureau et espaces de rangement
Coin nuit : lit (90x200 ou 120x200 selon logement) et table de chevet
Salle de bain privative : douche, vasque, meuble sous-vasque et WC

🌐 Services inclus

Connexion internet gratuite (wifi ou filaire)
Charges incluses
Résidence sécurisée

🌟 Espaces et services premium

Salle de sport 🏋️
Rooftop aménagé 🌇
Cuisine partagée 🍽️
Salle cinéma 🎬
Le Wash Bar, aménagé avec des lave-linges et des sèche-linges¹ connectés, est accessible 24h/24 et 7j/7.

🚇 Les + de la résidence

Métro à 2 minutes à pied
Logements fonctionnels et modernes
Idéal pour étudiants et jeunes actifs
Possibilité de colocation conviviale Disponible immédiatement"
"720";"";"";"";"Logement en résidence";"Logement en résidence";"Logement en résidence Good Morning Créteil à partir de 720€ cc / mois"
"1248";"Paris";"";"";"Logement en résidence";"Logement en résidence";"360° Promotion en cours Logement en résidence Canvas Puteaux La Défense à partir de 1248€ cc 1469€ / mois Puteaux (92800) Meublé - Parking - Salle de sport Appartements all-inclusive, coliving moderne et chaleureux, espaces communs spacieux et exceptionnels, événements toute l'année : Canvas est l’endroit idéal pour rejoindre une communauté internationale et dynamique.

Nos logements neufs, entièrement meublés et équipés, sont situés à proximité des principaux pôles d'activité, de nombreuses écoles, des transports en commun, et à quelques pas du cœur de Paris.

Pourquoi choisir Canvas ?

Appartements de grand standing à deux pas du cœur de Paris
Soyez parmi les premiers à profiter de nos 644 studios et appartements haut de gamme, entièrement meublés, toutes charges incluses (eau, wifi, électricité et Wifi haut débit ), aux vues imprenables sur Paris, la tour Eiffel ou notre jardin.

Espaces communs et services haut de gamme
Bénéficiez d'équipements exclusifs tels qu'une salle de sport high-tech, un rooftop au 11ème et dernier étage avec une vue dégagée exceptionnelle, de vastes espaces de coworking, ainsi que des espaces de détente et de loisirs. Profitez aussi d'un parking sécurisé. Détendez-vous dans notre salle de musique, salle de cinéma, salle de jeux, salle de yoga, ainsi que sur notre terrasse et dans notre jardin privé. La résidence Canvas dispose également d'un parking privé et sécurisé.

Loyer all-inclusive
Sont inclus dans le loyer, l'eau, le chauffage, l'électricité et un accès Internet haut débit, le tout dans des appartements entièrement meublés dotés de mobiliers et équipement modernes, design et fonctionnels. Il n'y a plus qu'à poser vos valises et commencer à profiter de votre nouvelle vie chez Canvas.

Networking et communauté internationale
Canvas vous permettra de bénéficier de la convivialité et de la dynamique d'une résidence avec des étudiants et jeunes actifs du monde entier. De nombreux événements sont organisés tout au long de l'année dans les différents espaces de coliving.

Connectivité à Paris et au-delà
Canvas La Défense est situé à quelques pas des quartiers centraux de Paris, à seulement 6 minutes à pied du quartier d'affaires de La Défense, idéal pour votre carrière, et à proximité de grandes écoles telles que l'Université Paris Nanterre et l'ESSEC Business School. Il offre d'excellentes connexions avec les transports en commun, y compris la ligne 1 du métro, le RER A, les bus et la ligne T2 du tramway, avec un accès rapide au centre de Paris.

Service d'accueil impeccable
Notre équipe d'accueil dédiée est disponible pour répondre à toutes vos attentes et assure une sécurité 24h/24, 7j/7. Utilisez notre application pour gérer tous vos besoins dans la résidence, réserver des salles ou encore suivre l'actualité de la communauté Canvas La Défense.

Bien plus qu'un simple lieu de vie, c'est ici que commence votre aventure parisienne ! Disponible immédiatement"
"730";"Nice";"";"";"Logement en résidence";"Logement en résidence";"Logement en résidence Twenty Campus Nice La Joia à partir de 730€ cc / mois Nice (06200) Meublé - Salle de sport - Cafétéria Notre nouvelle résidence étudiante Twenty Campus Nice Joia vous propose des logements neufs meublés et équipés allant du studio au T2.
Idéalement située à proximité des écoles du Sud de Nice
A 10 min à pied : 42 NICE, ISCOM, ISART,  Université Côte d'Azur, ESOL Nice BTS, Lycée de la Providence
A 10 à 20 min à pied : Institut Supérieur International de Management (ISIM), Lycée Thierry Maunier
A 10 à 20 min en transport : ISEG, EBM Buisness school, EDHEC, Ecole nationale TUNON, Lycée Paul Augier, PIGIER, UFR Sciences et Techniques des Activités Physiques et Sportives.
Facilement accessible depuis la gare SNCF St Augustin (15 min à pied) et de l'aéroport de Nice : (11 min via L3). la résidence est au pied des lignes 2 et 3 du Tramway à l'arrêt “Méridia”. Disponible immédiatement"
"665";"Lille";"";"";"Logement en résidence";"Logement en résidence";"360° Logement en résidence Twenty Campus Villeneuve D'ascq Olympium à partir de 665€ cc / mois Villeneuve-d'ascq (59650) Meublé - Parking - Salle de sport Pour plus d'information sur cette résidence, un standard téléphonique vous est mis à disposition : + 33 7 57 93 40 65

Découvrez notre résidence étudiante Twenty Campus Villeneuve d’Ascq Olympium, qui vient se nicher à la croisée de 3 lacs. Idéalement située, vous vous trouverez à proximité immédiate du Stadium Lille Métropole et du Parc du Héron – un véritable havre de paix naturel. Au pied de la résidence, vous pourrez emprunter le bus lignes 6 et 32 à l’arrêt « Stadium ». Le métro 1 arrêt « Pont de Bois » se situera à 14 minutes à pied.

Sécurisée, contemporaine et toute neuve, la résidence est dotée d'un mobilier design, d'une salle de sport, d'un potager collectif, d'un boulodrome, d'espaces communs aménagés pour te permettre de te détendre avec les autres résidents !

Nous vous proposons des logements allant du studio au T2 Premium. Disponible immédiatement"
"390";"";"2.0";"";"Logement en résidence";"Logement en résidence";"360° Logement en résidence UXCO Station 59 à partir de 390€ cc / mois Villeneuve-d'ascq (59650) 2 chambres - Meublé - Parking - Salle de sport - Cafétéria Découvre bien plus qu'un simple logement avec UXCO Student ! Nous t'invitons à plonger dans une expérience de vie étudiante unique. Chaque détail de notre résidence est pensé pour offrir une expérience mémorable aux étudiants, avec des espaces de coworking et de coliving favorisant les rencontres et les échanges entre Colivers. Profite d'une salle commune conviviale équipée d’une TV avec une console de jeux, des zones de détente, une grande cuisine commune équipée, des espaces de coworking, un babyfoot, une salle de sport, terrasses végétalisées et bien plus encore ! Disponible immédiatement"
"618";"";"";"";"Logement en résidence";"Logement en résidence";"360° Logement en résidence Studently Racine² à partir de 618€ cc / mois Villenave-d'ornon (33140) Meublé - Salle de sport - Cafétéria Vivez l’expérience Studently ! Notre toute nouvelle résidence Studently Racine² possède de
nombreux atouts : Salle de fitness, laverie, épicerie, espaces coliving, coworking, espaces détente
ainsi qu'un espace commun paysager.
La sécurité est notre priorité, c'est pourquoi notre résidence est équipée d'un système d'accès par
badge et interphonie
Profitez de nos appartements modernes allant de 14.5 à 26m², avec une pièce de vie, une
kitchenette équipée, ainsi qu'une salle d'eau avec douche et sanitaire.
Cette résidence est idéalement située au cœur de Villenave-d’Ornon, à proximité des commerces et
des transports en commun, vous pourrez facilement vous déplacer pour rejoindre les universités et
écoles supérieures. Disponible en juin 2026"
"405";"Nantes";"";"";"Logement en résidence";"Logement en résidence";"Logement en résidence UXCO Pixel Nantes à partir de 405€ cc / mois Nantes (44300) Meublé - Parking - Salle de sport À proximité du Centre Hospitalier Universitaire Vétérinaire, de l’Ecole Nationale Supérieure Mines ou encore de l’Ecole de Design, la résidence propose 189 appartements dont 149 studios, 31 T1 et 9 T2 entièrement meublés, équipés et décorés avec soin. La résidence est également très bien desservie par les transports en commun puisqu’un arrêt de bus (75 – arrêt Ecole vétérinaire - direction Charbonneau) se trouve à seulement 5 minutes à pied.. 

Bien plus qu'un appartement, UXCO te promet une expérience unique au sein de sa résidence. Entièrement pensée et conçue pour répondre aux nouveaux besoins des étudiants, elle propose des logements meublés et équipés disposant tous d’un coin cuisine, d’un coin nuit et d’une salle d’eau privative. La résidence inclut également une gamme complète de services pour simplifier ton quotidien : laverie automatique connectée, parking privé sécurisé, local à vélo, espace fitness, espace coworking etc. Une connexion en wifi très haut débit est également disponible dans les logements et les parties communes, idéal pour suivre les cours à distance facilement !

Enfin, une salle commune est disponible au rez-de-chaussée, pour faciliter la rencontre avec les autres étudiants de la résidence. Elle comprend une cuisine partagée 100% équipée, un espace détente avec un canapé un TV et un baby-foot, un espace de coworking et une terrasse partagée avec une zone chill. Cool non ? Découvre juste après l’ensemble des avantages de la résidence et les logements disponibles. Disponible immédiatement"
"593";"Toulouse";"";"";"Logement en résidence";"Logement en résidence";"Logement en résidence Sweetly Liberty à partir de 593€ cc / mois Toulouse (31200) Meublé - Parking - Salle de sport La résidence de coliving Liberty est une résidence récente qui se situe à Toulouse. Elle est composée d’hébergements T1 et T1 bis entièrement connectés.

Les résidents pourront profiter de plusieurs espaces communs animés par le Sweet manager : salle de sport, espace de coworking, espace détente avec TV et bornes d’arcade…

Située à deux pas seulement de la ligne B du métro, les résidents pourront profiter d’un emplacement idéal. Proche du quartier Borderouge, elle profite de toutes ses commodités, que ce soit en terme de commerces, de restaurants ou de zones de culture et de loisirs (parc de la Maourine, cinéma Utopia, salle de concerts du Métronum…). Disponible immédiatement"
"390";"Montpellier";"";"";"Logement en résidence";"Logement en résidence";"360° Logement en résidence UXCO Kabane à partir de 390€ cc / mois Lattes (34970) Meublé - Parking - Salle de sport Résidence hybride entièrement neuve au sud de Montpellier, Kabane t’invite à vivre une véritable expérience.  

Kabane propose 131 appartements, du studio à la chambre privée en coliving. Chaque logement est loué entièrement meublé, avec une cuisine équipée (frigo, plaque vitrocéramique, micro-ondes, hotte et rangements) et un coin salon, un coin nuit, un coin bureau avec de nombreux rangements, et une salle de bain indépendante. Les appartements sont tous lumineux, modernes et décorés avec soin. Disponible immédiatement"
"713";"";"";"";"Logement en résidence";"Logement en résidence";"360° Logement en résidence Studently Campus Ricci à partir de 713€ cc / mois Villenave-d'ornon (33140) Meublé - Parking - Salle de sport Profitez d'une résidence récente et de son confort ! A proximité de différentes zones d'activités, les résidents du campus Ricci apprécieront le dynamisme de leur quartier. En effet, ils auront la possibilité de rejoindre des commerces, restaurants et supermarché, notamment avec l'arrêt de bus situé à proximité de la résidence ou le tramway à 1KM. Certaines écoles et instituts se trouvent à quelques minutes à pied de la résidence et beaucoup de formations universitaires sont basées sur le campus de Talence-Pessac Gradignan, à moins de 3 km. Autour de cet environnement animé, convivial et propice au travail se trouvent toutes les commodités nécessaires au quotidien. Quant au centre commercial Rives d'Arcins, il se situe à l'est du Campus Ricci soit à 8 minutes en voiture seulement. Pour la plus grande satisfaction des jeunes. Il propose une multitude de boutiques de loisirs. Des animations et bien d'autres seront organisé au sein de votre résidence , ambiance joviale et chaleureuse ! Disponible immédiatement"
